"metagene"
"GSM2186238" 3.053
"GSM2186274" 4.469
"GSM2185822" 4.301
"GSM2186233" 5.805
"GSM2186251" 4.087
"GSM2186236" 6.193
"GSM2185831" 3.584
"GSM2186240" 3.431
"GSM2186221" 2.635
"GSM2186273" 4.194
"GSM2186279" 3.206
"GSM2186225" 3.639
"GSM2185821" 3.573
"GSM2185823" 3.713
"GSM2186288" 4.155
"GSM2186215" 4.733
"GSM2186209" 3.071
"GSM2185803" 2.923
"GSM2186268" 3.271
"GSM2186270" 4.516
"GSM2186255" 3.114
"GSM2186148" 3.889
"GSM2186256" 5.688
"GSM2186246" 3.106
"GSM2185782" 3.067
"GSM2186081" 4.403
"GSM2186078" 4.077
"GSM2185778" 3.223
"GSM2186280" 2.925
"GSM2185814" 5.39
"GSM2186153" 3.373
"GSM2186259" 3.906
"GSM2186036" 3.376
"GSM2185827" 3.103
"GSM2186284" 3.633
"GSM2185971" 3.293
"GSM2186023" 3.862
"GSM2186050" 3.938
"GSM2186051" 3.095
"GSM2186052" 3.515
"GSM2186267" 4.2
"GSM2185932" 5.312
"GSM2186053" 3.837
"GSM2185825" 3.008
"GSM2186275" 2.832
"GSM2186011" 3.802
"GSM2186062" 3.974
"GSM2186010" 3.247
"GSM2186167" 4.063
"GSM2186231" 2.949
"GSM2186056" 3.515
"GSM2186264" 3.654
"GSM2186055" 4.848
"GSM2186249" 3.084
"GSM2186009" 3.71
"GSM2186008" 3.065
"GSM2186007" 3.368
"GSM2186001" 3.179
"GSM2186283" 3.154
"GSM2185840" 3.045
"GSM2186193" 6.267
"GSM2186166" 3.749
"GSM2185990" 3.696
"GSM2185995" 4.894
"GSM2186005" 2.956
"GSM2186004" 3.374
"GSM2186049" 5.079
"GSM2186165" 5.593
"GSM2186248" 3.139
"GSM2186017" 4.322
"GSM2185820" 2.929
"GSM2186206" 3.102
"GSM2185964" 3.264
"GSM2186252" 3.533
"GSM2186022" 3.485
"GSM2186228" 3.72
"GSM2185804" 2.974
"GSM2186057" 3.989
"GSM2185808" 3.63
"GSM2186043" 3.641
"GSM2186060" 3.654
"GSM2185856" 3.546
"GSM2186217" 2.975
"GSM2186162" 3.433
"GSM2186163" 3.877
"GSM2186161" 3.692
"GSM2185850" 3.15
"GSM2186019" 4.519
"GSM2185832" 4.068
"GSM2186109" 3.296
